,gene,p,difference,q,subclass
15024,MTHFD2,1.29974974990177e-26,-1.03812680593106,1.26242538542598e-24,2
15027,MTL5,3.61839043920647e-23,-1.85935983885033,2.16900414347548e-21,2
15051,MUC1,2.64281163728355e-18,1.08169457699306,8.68017861988809e-17,2
15070,MYBL2,3.58470911189761e-35,-2.30518391310896,1.62772678998491e-32,2
15158,NAPSA,2.1739371577758e-32,2.52718589114309,5.33584062117322e-30,2
15159,NAPSB,6.82261401353458e-24,1.23070144631396,4.53642589404038e-22,2
15184,NCAPD2,4.65131429297807e-28,-0.806386550356898,5.3133221071296e-26,2
15186,NCAPG2,3.9586526417288e-31,-1.1244198137823,7.56852715070739e-29,2
15187,NCAPG,6.89018607169384e-37,-1.76823727582277,5.44114998348588e-34,2
15188,NCAPH,1.64630285375896e-35,-1.73646344697859,8.54337106652114e-33,2
15215,NCRNA00182,5.05686375471774e-16,0.719080900697094,1.20852389969656e-14,2
15222,NDC80,6.86018972487004e-32,-1.81528217703797,1.50122440931102e-29,2
15229,NDRG2,6.6051879184701e-16,0.834847733002935,1.54800036339577e-14,2
15269,NEIL3,1.54468284050514e-24,-1.98777369071584,1.13587345878927e-22,2
15272,NEK2,5.44762464423163e-32,-1.9076977217658,1.2215457581874e-29,2
15294,NFATC3,1.83696987818494e-19,0.516046763138698,7.11404773933328e-18,2
15300,NFIX,1.39624036540013e-33,1.48174486400127,4.22665229279376e-31,2
15330,NIPAL3,9.79038410468822e-28,0.801913445821185,1.08428503959422e-25,2
15344,NKIRAS2,4.60120715919493e-16,-0.382405950088923,1.10688021166701e-14,2
15348,NKX2-1,6.96721111880336e-17,1.30720546428918,1.89439304716805e-15,2
15399,NOSTRIN,2.82181635197344e-17,1.19032165085238,8.05859283032918e-16,2
15409,NPC2,2.99471867300985e-17,1.12480172748493,8.53894431049889e-16,2
15443,NR3C2,7.41267771493903e-37,1.42616790475772,5.60985272235157e-34,2
15510,NUDT1,2.71502135304459e-19,-0.769327163628563,1.02308989284956e-17,2
15516,NUF2,4.25706161482931e-32,-1.90807825713188,9.91295001412112e-30,2
15521,NUP107,1.42204415380535e-17,-0.572432363512343,4.2481230206524e-16,2
15525,NUP205,2.42630932817356e-20,-0.515001492097468,1.04926324589563e-18,2
15529,NUP37,4.8799521028073e-21,-0.59060264719079,2.36358853448771e-19,2
15535,NUP85,1.88081366901245e-20,-0.447318925420163,8.35237620300077e-19,2
15541,NUSAP1,1.25082093763022e-27,-1.27788169280961,1.36859401748058e-25,2
15560,OBFC2B,1.01347275579869e-16,-0.463410325264952,2.67943313880227e-15,2
15576,OIP5,6.04882706117152e-31,-1.59676773557094,1.12106985624549e-28,2
15579,OLFM1,4.43066182873059e-19,1.52054149463341,1.62903058289947e-17,2
15588,OPA1,1.06646993958687e-16,-0.407021717544835,2.81544963847621e-15,2
15602,OR51E1,9.86680745980753e-17,-2.03615192372353,2.61621640718955e-15,2
15611,ORC1L,8.40377497170404e-27,-1.48412620022297,8.38669037423409e-25,2
15615,ORC6L,1.01023922864313e-27,-1.39896378023556,1.11205909756637e-25,2
15632,OSR1,6.48046628396474e-16,0.978219724189176,1.52467239787113e-14,2
15694,PAICS,7.78179272507757e-16,-0.600462723462512,1.80742584738598e-14,2
15736,PARM1,6.47021489758843e-18,1.21582079196525,2.03319226963492e-16,2
15758,PBK,6.30232243127428e-28,-1.78602307709345,7.02264308706962e-26,2
15778,PCDH20,6.66789281632733e-21,2.34340472803365,3.12942990240189e-19,2
15802,PCDP1,8.06822111435888e-39,2.4350869302026,1.49981528958503e-35,2
15810,PCNA,2.07067760494238e-16,-0.599340701521589,5.25275381823582e-15,2
15824,PDAP1,9.87848831419011e-19,-0.423710611211636,3.45044198558913e-17,2
15841,PDE4C,3.21180118899654e-17,1.4137327510802,9.1007714501941e-16,2
15877,PDSS1,1.45514469381607e-25,-0.819023281242496,1.20683986638271e-23,2
15882,PDZD2,5.02017874159594e-31,1.63115179578966,9.4980735920424e-29,2
15891,PEBP4,2.00803488381173e-30,3.42743440378511,3.40859229856752e-28,2
15918,PFKP,2.08606035461163e-19,-1.17867569210602,8.02735470779895e-18,2
15920,PFN2,4.86501007500269e-24,-1.56234462160159,3.27271029601014e-22,2
15924,PGAM5,7.47430958310394e-22,-0.673812612030936,3.96947032040693e-20,2
15946,PHACTR1,6.78063536216592e-29,1.70634226903027,8.79690572021569e-27,2
15972,PHKB,3.52534516214639e-21,0.619023733548671,1.74470965068297e-19,2
15989,PID1,2.4421201810776e-19,1.20976602175594,9.29899975868185e-18,2
15990,PIF1,2.84255406883865e-24,-1.55251295807274,1.97813446560599e-22,2
15997,PIGR,1.0167807401762e-18,2.59431911608942,3.52438713431685e-17,2
16009,PIK3IP1,2.28738782483478e-16,0.688902687753775,5.77827886821615e-15,2
16028,PITPNM3,5.42060699964968e-16,0.875154701966545,1.28867126877797e-14,2
16041,PKMYT1,2.86229459818052e-27,-1.62907346007581,3.00507842697993e-25,2
16053,PLA2G1B,1.45916264240691e-26,3.0282150394849,1.3948826881072e-24,2
16059,PLA2G4F,3.56484125785324e-26,1.83284648203904,3.2536789832356e-24,2
16073,PLCD1,4.36588389134394e-18,0.721111149486537,1.40101676887774e-16,2
16115,PLK1,1.37986078654138e-33,-1.67470960120703,4.22665229279376e-31,2
16117,PLK4,8.56418497188498e-31,-1.31891770882663,1.57122516812472e-28,2
16118,PLLP,5.11100220090503e-29,1.49999421491658,6.82581860110574e-27,2
16120,PLOD2,6.60735775631712e-23,-1.47197068867455,3.87127222348348e-21,2
16133,PLXNA2,8.87723247247596e-19,1.07643665536505,3.1308189009239e-17,2
16156,PNMA1,4.42124614242042e-21,-0.599378354336448,2.14714154237385e-19,2
16174,POC1A,5.88651353279649e-30,-1.0430014587816,9.06074112679514e-28,2
16179,POLA2,2.45705471596817e-21,-0.562490810279552,1.23621841568227e-19,2
16186,POLE2,1.85986094976616e-23,-1.54076652167549,1.16485015277941e-21,2
16195,POLQ,3.54118203648826e-34,-1.87714707851957,1.28636978657473e-31,2
16226,POP1,4.48882850443634e-19,-0.593154648848738,1.64564318409764e-17,2
16229,POP7,1.0568401165302e-19,-0.600294733378908,4.23739228179647e-18,2
16249,PPAPDC1A,1.00328151897513e-18,-2.40849203982838,3.49091996726921e-17,2
16254,PPAT,1.17712441677064e-17,-0.661253454942237,3.55151341890451e-16,2
16279,PPM1G,1.76214542604864e-20,-0.437320891096224,7.86384456346964e-19,2
16314,PPP2R5A,3.01419643194024e-17,0.64704124397252,8.58101093939351e-16,2
16334,PRC1,1.33204758674695e-35,-1.40284200855379,7.1158765641426e-33,2
16340,PRDM16,1.11032228722331e-22,1.98908294606835,6.38189357684715e-21,2
16356,PRG4,2.53559001022311e-27,2.71624145464022,2.6932117751861e-25,2
16361,PRIM1,1.09812195912732e-18,-0.758350266151685,3.78466587165645e-17,2
16371,PRKCE,2.13688877242118e-17,0.642695039669317,6.21992159831505e-16,2
16408,PRR11,1.72607774496788e-24,-1.776878285921,1.24407738420046e-22,2
16410,PRR15L,9.33521480401328e-19,1.12125679714313,3.27960360706563e-17,2
16463,PSMC3IP,8.42041310129383e-29,-1.3469919918881,1.07704199407606e-26,2
16469,PSMD11,5.35112409994051e-16,-0.458082993955744,1.2738200134629e-14,2
16470,PSMD12,1.5854354418179e-18,-0.451268844994072,5.35246541444954e-17,2
16472,PSMD14,6.94054775623056e-16,-0.509899704188065,1.62032350766601e-14,2
16474,PSMD2,6.49689535142094e-19,-0.423265838941564,2.33207727802092e-17,2
